Date (yyyy-mm-dd),Time of day (hh:mm),Water intake (dl)
2023-05-16,06:47,2
2023-05-16,07:46,7
2023-05-16,10:37,7
2023-05-16,13:33,7
2023-05-16,15:30,7
2023-05-16,18:19,7
2023-05-16,18:55,7
2023-05-16,19:16,7
2023-05-16,21:59,7
2023-05-17,07:14,7
2023-05-17,07:34,7
2023-05-17,11:13,7
2023-05-17,13:40,7
2023-05-17,15:39,7
2023-05-17,18:19,7
2023-05-17,19:30,7
2023-05-17,21:51,7
2023-05-17,22:51,7
2023-05-18,07:26,7
2023-05-18,08:22,7
2023-05-18,12:15,7
2023-05-18,15:17,7
2023-05-18,17:14,7
2023-05-18,19:47,7
2023-05-18,21:57,7
2023-05-19,09:44,7
2023-05-19,10:09,7
2023-05-19,12:50,7
2023-05-19,13:13,7
2023-05-19,15:57,7
2023-05-19,17:10,7
2023-05-19,20:19,7
2023-05-19,23:12,7
2023-05-20,10:16,7
2023-05-20,12:24,7
2023-05-20,13:49,7
2023-05-20,16:24,7
2023-05-20,20:30,7
2023-05-20,21:32,7
2023-05-20,23:31,7
2023-05-21,10:04,7
2023-05-21,10:57,7
2023-05-21,12:39,7
2023-05-21,13:30,7
2023-05-21,14:14,7
2023-05-21,16:27,7
2023-05-21,17:58,7
2023-05-21,21:24,7
2023-05-22,08:04,7
2023-05-22,09:14,7
2023-05-22,12:44,7
2023-05-22,15:36,7
2023-05-22,17:44,7
2023-05-22,19:23,7
2023-05-22,21:49,7
2023-05-22,22:50,7
2023-05-23,08:13,7
2023-05-23,08:32,7
2023-05-23,12:44,7
2023-05-23,15:30,7
2023-05-23,19:42,7
2023-05-23,22:20,7
2023-05-23,22:23,7
2023-05-24,07:37,7
2023-05-24,11:24,7
2023-05-24,14:35,7
2023-05-24,16:12,7
2023-05-24,18:10,7
2023-05-24,19:17,7
2023-05-24,21:53,7
2023-05-25,07:29,7
2023-05-25,11:26,7
2023-05-25,15:28,7
2023-05-25,18:11,7
2023-05-25,21:18,7
2023-05-25,21:57,7
2023-05-26,07:26,7
2023-05-26,11:10,7
2023-05-26,14:40,7
2023-05-26,18:29,7
2023-05-26,19:18,7
2023-05-26,23:25,7
2023-05-27,08:16,7
2023-05-27,10:41,7
2023-05-27,12:21,7
2023-05-27,13:05,7
2023-05-27,14:34,7
2023-05-27,15:38,7
2023-05-27,18:58,7
2023-05-27,22:56,7
2023-05-28,08:10,7
2023-05-28,11:03,7
2023-05-28,13:18,7
2023-05-28,18:31,7
2023-05-28,21:45,7
2023-05-28,22:30,7
2023-05-29,07:17,7
2023-05-29,09:10,7
2023-05-29,13:04,7
2023-05-29,16:03,7
2023-05-29,18:35,7
2023-05-29,22:37,7
2023-05-30,07:11,7
2023-05-30,07:35,7
2023-05-30,13:33,7
2023-05-30,18:18,7
2023-05-30,20:58,7
2023-05-30,22:05,7
2023-05-31,07:30,7
2023-05-31,08:17,7
2023-05-31,12:45,7
2023-05-31,16:38,7
2023-05-31,20:17,7
2023-05-31,23:23,7
2023-06-01,06:40,7
2023-06-01,11:11,7
2023-06-01,15:28,7
2023-06-01,18:37,7
2023-06-01,21:37,7
2023-06-02,07:25,7
2023-06-02,12:03,7
2023-06-02,14:35,7
2023-06-02,19:26,7
2023-06-02,23:34,7
2023-06-03,08:32,7
2023-06-03,10:35,7
2023-06-03,11:37,7
2023-06-03,12:58,7
2023-06-03,14:36,7
2023-06-03,17:58,7
2023-06-03,20:05,7
2023-06-03,23:40,7
2023-06-04,08:59,7
2023-06-04,13:02,7
2023-06-04,16:40,7
2023-06-04,20:51,7
2023-06-05,06:50,7
2023-06-05,07:46,7
2023-06-05,12:15,7
2023-06-05,15:41,7
2023-06-05,18:41,7
2023-06-05,21:50,7
2023-06-06,08:28,7
2023-06-06,09:12,7
2023-06-06,11:38,7
2023-06-06,15:31,7
2023-06-06,19:54,7
2023-06-07,06:48,7
2023-06-07,12:10,7
2023-06-07,16:13,7
2023-06-07,17:54,7
2023-06-07,21:18,7
2023-06-08,06:27,7
2023-06-08,09:40,7
2023-06-08,11:55,3
2023-06-08,17:10,7
2023-06-08,19:29,7
2023-06-08,21:53,7
2023-06-09,06:50,7
2023-06-09,12:12,7
2023-06-09,15:26,7
2023-06-09,20:03,7
2023-06-09,22:30,7
2023-06-10,07:21,7
2023-06-10,11:25,7
2023-06-10,12:20,7
2023-06-10,13:32,7
2023-06-10,18:40,7
2023-06-10,19:52,7